"genelist[, 1]",pvalues,padj
FBgn0051144,0.005835992,0.044068967
FBgn0025394,0.00588912,0.044294857
FBgn0036991,0.005915992,0.044315719
FBgn0267996,0.005914365,0.044315719
FBgn0000137,0.005962623,0.044574246
FBgn0085248,0.005989954,0.044687732
FBgn0034634,0.0060234,0.044846289
FBgn0000449,0.006063927,0.045056813
FBgn0025837,0.006093168,0.045105281
FBgn0263457,0.006094977,0.045105281
FBgn0038292,0.006107584,0.045107822
FBgn0038980,0.006133351,0.045123325
FBgn0266418,0.00613422,0.045123325
FBgn0000250,0.006268158,0.045760805
FBgn0002561,0.006295532,0.045760805
FBgn0005779,0.006289006,0.045760805
FBgn0266325,0.006236348,0.045760805
FBgn0267084,0.00628003,0.045760805
FBgn0267243,0.006280565,0.045760805
FBgn0031228,0.006366135,0.046091821
FBgn0052182,0.006361654,0.046091821
FBgn0259711,0.006425562,0.046430684
FBgn0267751,0.006466979,0.046638334
FBgn0266413,0.006491555,0.046723953
FBgn0266619,0.006514038,0.046794206
FBgn0035253,0.00658464,0.047117326
FBgn0267078,0.006572834,0.047117326
FBgn0050355,0.006605862,0.047177396
FBgn0032635,0.006637409,0.047310834
FBgn0029849,0.006654292,0.047339429
FBgn0035286,0.006702494,0.047590298
FBgn0266196,0.006729164,0.047687604
FBgn0036188,0.006796979,0.048048103
FBgn0267776,0.006806161,0.048048103
FBgn0027601,0.006834055,0.048152594
FBgn0033584,0.006886436,0.048215662
FBgn0035510,0.006895443,0.048215662
FBgn0040687,0.006861053,0.048215662
FBgn0264563,0.006893905,0.048215662
FBgn0038326,0.007001731,0.048589372
FBgn0051912,0.006985782,0.048589372
FBgn0267556,0.006963461,0.048589372
FBgn0267632,0.006993256,0.048589372
FBgn0041100,0.007027546,0.048676676
FBgn0031020,0.00705583,0.048780719
FBgn0004057,0.007179667,0.049353491
FBgn0039110,0.00716471,0.049353491
FBgn0039339,0.007192352,0.049353491
FBgn0266276,0.007186271,0.049353491
FBgn0039645,0.007243048,0.049608812
FBgn0032261,0.007269498,0.049634752
FBgn0034402,0.007273826,0.049634752
FBgn0032249,0.00729754,0.049704359
